scene_path,scope,scene_id,status,pbpt_exit_code,mi3_exit_code,pbpt_duration_ms,mi3_duration_ms,compare_duration_ms,nrmse,psnr,max_abs,pbpt_out_exr,mi3_out_exr,diff_exr,pbpt_log,mi3_log,meta_json
asset/scene/cbox/cbox.xml,IN_SCOPE,asset__scene__cbox__cbox,COMPARABLE,0,0,961904,67514,179,0.02511968461179223,22.84137693281862,1.6024723052978516,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox/meta.json
asset/scene/cbox/cbox_glass_bunny.xml,IN_SCOPE,asset__scene__cbox__cbox_glass_bunny,COMPARABLE,0,0,1393533,71812,56,0.035988824453953044,20.19994165694053,4.3886823654174805,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_glass_bunny/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_glass_bunny/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_glass_bunny/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_glass_bunny/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_glass_bunny/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_glass_bunny/meta.json
asset/scene/cbox/cbox_checkerboard_texture.xml,IN_SCOPE,asset__scene__cbox__cbox_checkerboard_texture,COMPARABLE,0,0,1231967,82404,66,0.028725566346105486,22.08522117547437,1.6750965118408203,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_checkerboard_texture/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_checkerboard_texture/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_checkerboard_texture/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_checkerboard_texture/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_checkerboard_texture/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_checkerboard_texture/meta.json
asset/scene/cbox/cbox_cu_spec.xml,IN_SCOPE,asset__scene__cbox__cbox_cu_spec,COMPARABLE,0,0,1348368,62991,52,0.025272524341075776,22.81533970190344,1.7041816711425781,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_cu_spec/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_cu_spec/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_cu_spec/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_cu_spec/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_cu_spec/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_cu_spec/meta.json
asset/scene/cbox/cbox_diele_spec.xml,IN_SCOPE,asset__scene__cbox__cbox_diele_spec,COMPARABLE,0,0,1530796,70604,46,0.03161655265316321,20.701533886739295,6.8767523765563965,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_diele_spec/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_diele_spec/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_diele_spec/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_diele_spec/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_diele_spec/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_diele_spec/meta.json
asset/scene/cbox/cbox_microfacet_cu_aniso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_cu_aniso,COMPARABLE,0,0,1353917,95877,40,0.029970399127921273,21.739975296905534,1.8117198944091797,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_aniso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_aniso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_aniso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_aniso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_aniso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_aniso/meta.json
asset/scene/cbox/cbox_microfacet_cu_iso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_cu_iso,COMPARABLE,0,0,1571212,103410,52,0.027837779247928764,22.744938294300916,1.4915366172790527,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_iso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_iso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_iso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_iso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_iso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_cu_iso/meta.json
asset/scene/cbox/cbox_microfacet_diele_aniso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_diele_aniso,PBPT_TIMEOUT,124,0,1800010,133687,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_aniso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_aniso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_aniso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_aniso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_aniso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_aniso/meta.json
asset/scene/cbox/cbox_microfacet_diele_iso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_diele_iso,COMPARABLE,0,0,1722518,129065,51,0.029866196188389208,21.038586437780406,1.6275262832641602,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_iso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_iso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_iso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_iso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_iso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260227T075318Z/asset__scene__cbox__cbox_microfacet_diele_iso/meta.json
