scene_path,scope,scene_id,status,pbpt_exit_code,mi3_exit_code,pbpt_duration_ms,mi3_duration_ms,compare_duration_ms,nrmse,psnr,max_abs,pbpt_out_exr,mi3_out_exr,diff_exr,pbpt_log,mi3_log,meta_json
asset/scene/cbox/cbox.xml,IN_SCOPE,asset__scene__cbox__cbox,COMPARABLE,0,0,11143,1880,105,0.2155836702375218,4.454944765713048,10.703168869018555,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox/meta.json
asset/scene/cbox/cbox_caustics_uv_sphere.xml,IN_SCOPE,asset__scene__cbox__cbox_caustics_uv_sphere,MI3_XML_PARSE_ERROR,0,0,9673,212,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_caustics_uv_sphere/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_caustics_uv_sphere/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_caustics_uv_sphere/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_caustics_uv_sphere/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_caustics_uv_sphere/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_caustics_uv_sphere/meta.json
asset/scene/cbox/cbox_checkerboard_texture.xml,IN_SCOPE,asset__scene__cbox__cbox_checkerboard_texture,MI3_XML_PARSE_ERROR,0,0,10277,211,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_checkerboard_texture/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_checkerboard_texture/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_checkerboard_texture/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_checkerboard_texture/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_checkerboard_texture/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_checkerboard_texture/meta.json
asset/scene/cbox/cbox_cu_spec.xml,IN_SCOPE,asset__scene__cbox__cbox_cu_spec,MI3_XML_PARSE_ERROR,0,0,11894,224,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_cu_spec/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_cu_spec/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_cu_spec/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_cu_spec/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_cu_spec/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_cu_spec/meta.json
asset/scene/cbox/cbox_diele_spec.xml,IN_SCOPE,asset__scene__cbox__cbox_diele_spec,MI3_XML_PARSE_ERROR,0,0,12806,206,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_diele_spec/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_diele_spec/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_diele_spec/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_diele_spec/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_diele_spec/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_diele_spec/meta.json
asset/scene/cbox/cbox_microfacet_cu_aniso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_cu_aniso,MI3_XML_PARSE_ERROR,0,0,11056,718,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_aniso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_aniso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_aniso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_aniso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_aniso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_aniso/meta.json
asset/scene/cbox/cbox_microfacet_cu_iso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_cu_iso,MI3_XML_PARSE_ERROR,0,0,10507,199,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_iso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_iso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_iso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_iso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_iso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_cu_iso/meta.json
asset/scene/cbox/cbox_microfacet_diele_aniso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_diele_aniso,MI3_XML_PARSE_ERROR,0,0,13060,213,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_aniso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_aniso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_aniso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_aniso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_aniso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_aniso/meta.json
asset/scene/cbox/cbox_microfacet_diele_iso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_diele_iso,MI3_XML_PARSE_ERROR,0,0,12187,167,0,,,,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_iso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_iso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_iso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_iso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_iso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T073038Z/asset__scene__cbox__cbox_microfacet_diele_iso/meta.json
