scene_path,scope,scene_id,status,pbpt_exit_code,mi3_exit_code,pbpt_duration_ms,mi3_duration_ms,compare_duration_ms,nrmse,psnr,max_abs,pbpt_out_exr,mi3_out_exr,diff_exr,pbpt_log,mi3_log,meta_json
asset/scene/cbox/cbox.xml,IN_SCOPE,asset__scene__cbox__cbox,COMPARABLE,0,0,12890,1821,110,0.2155836702375218,4.454944765713048,10.703168869018555,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox/meta.json
asset/scene/cbox/cbox_caustics_uv_sphere.xml,IN_SCOPE,asset__scene__cbox__cbox_caustics_uv_sphere,COMPARABLE,0,0,10428,1678,56,0.2881984889982899,3.130240525692982,34.75380325317383,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_caustics_uv_sphere/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_caustics_uv_sphere/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_caustics_uv_sphere/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_caustics_uv_sphere/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_caustics_uv_sphere/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_caustics_uv_sphere/meta.json
asset/scene/cbox/cbox_checkerboard_texture.xml,IN_SCOPE,asset__scene__cbox__cbox_checkerboard_texture,COMPARABLE,0,0,10803,1815,48,0.24747557981982335,3.2181633023520355,11.337665557861328,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_checkerboard_texture/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_checkerboard_texture/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_checkerboard_texture/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_checkerboard_texture/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_checkerboard_texture/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_checkerboard_texture/meta.json
asset/scene/cbox/cbox_cu_spec.xml,IN_SCOPE,asset__scene__cbox__cbox_cu_spec,COMPARABLE,0,0,12252,2036,50,0.22072380641626937,8.246405784101052,10.742820739746094,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_cu_spec/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_cu_spec/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_cu_spec/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_cu_spec/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_cu_spec/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_cu_spec/meta.json
asset/scene/cbox/cbox_diele_spec.xml,IN_SCOPE,asset__scene__cbox__cbox_diele_spec,COMPARABLE,0,0,14550,2686,43,0.24391870578100658,7.6508935690539035,35.140899658203125,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_diele_spec/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_diele_spec/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_diele_spec/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_diele_spec/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_diele_spec/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_diele_spec/meta.json
asset/scene/cbox/cbox_microfacet_cu_aniso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_cu_aniso,COMPARABLE,0,0,12412,2213,46,0.22661957027825624,7.665321847519338,10.784646034240723,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_aniso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_aniso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_aniso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_aniso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_aniso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_aniso/meta.json
asset/scene/cbox/cbox_microfacet_cu_iso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_cu_iso,COMPARABLE,0,0,12051,2208,44,0.2231638505986344,4.790455103877353,10.758152961730957,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_iso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_iso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_iso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_iso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_iso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_cu_iso/meta.json
asset/scene/cbox/cbox_microfacet_diele_aniso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_diele_aniso,COMPARABLE,0,0,15740,3263,40,0.2406029900061347,7.6983603869473,9.473801612854004,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_aniso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_aniso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_aniso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_aniso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_aniso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_aniso/meta.json
asset/scene/cbox/cbox_microfacet_diele_iso.xml,IN_SCOPE,asset__scene__cbox__cbox_microfacet_diele_iso,COMPARABLE,0,0,14682,3217,42,0.22930853491130906,5.634478281454014,8.351093292236328,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_iso/pbpt.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_iso/mi3.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_iso/diff.exr,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_iso/pbpt.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_iso/mi3.log,/Users/jinceyang/Desktop/codebase/graphics/rtr2/external/pbpt/output/compare_mi3/20260225T110449Z/asset__scene__cbox__cbox_microfacet_diele_iso/meta.json
